-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     nvjet_tst_96x64_64x10_4x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     453.695us         0.14%     453.695us      16.203us            28  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     445.854us         0.13%     445.854us       3.140us           142  
                nvjet_tst_64x72_64x12_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     438.333us         0.13%     438.333us      15.655us            28  
              nvjet_tst_128x224_64x4_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     416.701us         0.13%     416.701us     416.701us             1  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     405.469us         0.12%     405.469us      21.340us            19  
                nvjet_tst_64x16_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     405.405us         0.12%     405.405us      14.479us            28  
              nvjet_tst_192x208_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     404.957us         0.12%     404.957us     404.957us             1  
              nvjet_tst_192x128_64x5_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     389.629us         0.12%     389.629us     389.629us             1  
                    nvjet_tst_128x136_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     385.117us         0.12%     385.117us     385.117us             1  
                     nvjet_tst_64x112_64x9_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     384.472us         0.12%     384.472us      13.731us            28  
