-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                nvjet_tst_64x48_64x15_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     421.407us         0.10%     421.407us      15.050us            28  
                                            aten::index         0.31%       2.202ms         0.77%       5.523ms      52.103us     417.119us         0.10%     553.310us       5.220us           106  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     413.471us         0.09%     413.471us      14.767us            28  
                nvjet_tst_64x24_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     411.423us         0.09%     411.423us      14.694us            28  
                nvjet_tst_64x16_64x16_4x1_v_bz_bias_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     405.920us         0.09%     405.920us      14.497us            28  
              nvjet_tst_192x176_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     395.679us         0.09%     395.679us     395.679us             1  
              nvjet_tst_192x160_64x4_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     392.672us         0.09%     392.672us     392.672us             1  
                                              aten::sub         0.27%       1.964ms         0.49%       3.510ms      13.986us     389.278us         0.09%     389.278us       1.551us           251  
              nvjet_tst_192x144_64x5_2x1_v_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     387.647us         0.09%     387.647us     387.647us             1  
                     nvjet_tst_64x112_64x9_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     385.472us         0.09%     385.472us      13.767us            28  
               nvjet_tst_384x88_64x3_2x1_v_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     384.735us         0.09%     384.735us     384.735us             1  
                     nvjet_tst_384x48_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     373.375us         0.09%     373.375us     373.375us             1  
                     nvjet_tst_64x56_64x14_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     370.560us         0.09%     370.560us      13.234us            28  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     359.647us         0.08%     359.647us      18.929us            19  
                     nvjet_tst_64x72_64x12_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     359.456us         0.08%     359.456us      12.838us            28  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     353.631us         0.08%     353.631us       1.668us           212  
                     nvjet_tst_64x40_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     352.287us         0.08%     352.287us      12.582us            28  
                                           aten::gather         0.12%     849.220us         0.20%       1.418ms      22.877us     344.415us         0.08%     344.415us       5.555us            62  
                     nvjet_tst_64x24_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     343.936us         0.08%     343.936us      12.283us            28  
                     nvjet_tst_64x24_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     331.392us         0.08%     331.392us      11.835us            28  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 715.908ms
Self CUDA time total: 435.584ms

