model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-32B,c4,1,3,2048,0.089139
Qwen/Qwen3-32B,c4,1,4,128,0.837248
Qwen/Qwen3-32B,c4,1,4,512,0.387754
Qwen/Qwen3-32B,c4,1,4,2048,0.118851
Qwen/Qwen3-32B,c4,1,5,128,0.372586
Qwen/Qwen3-32B,c4,1,5,512,0.245896
Qwen/Qwen3-32B,c4,1,5,2048,0.058844
Qwen/Qwen3-32B,c4,1,6,128,0.308924
Qwen/Qwen3-32B,c4,1,6,512,0.217294
Qwen/Qwen3-32B,c4,1,6,2048,0.056938
Qwen/Qwen3-32B,c4,1,7,128,0.390336
Qwen/Qwen3-32B,c4,1,7,512,0.273868
Qwen/Qwen3-32B,c4,1,7,2048,0.072251
Qwen/Qwen3-32B,c4,1,8,128,0.459715
Qwen/Qwen3-32B,c4,1,8,512,0.258728
Qwen/Qwen3-32B,c4,1,8,2048,0.078144
Qwen/Qwen3-32B,c4,1,9,128,0.524366
Qwen/Qwen3-32B,c4,1,9,512,0.280690
Qwen/Qwen3-32B,c4,1,9,2048,0.067693
Qwen/Qwen3-32B,c4,1,10,128,0.793808
Qwen/Qwen3-32B,c4,1,10,512,0.552260
Qwen/Qwen3-32B,c4,1,10,2048,0.122255
Qwen/Qwen3-32B,c4,1,11,128,0.316433
Qwen/Qwen3-32B,c4,1,11,512,0.154921
Qwen/Qwen3-32B,c4,1,11,2048,0.023334
Qwen/Qwen3-32B,c4,1,12,128,0.701581
Qwen/Qwen3-32B,c4,1,12,512,0.397552
Qwen/Qwen3-32B,c4,1,12,2048,0.087895
Qwen/Qwen3-32B,c4,1,13,128,0.843592
Qwen/Qwen3-32B,c4,1,13,512,0.680001
Qwen/Qwen3-32B,c4,1,13,2048,0.152543
Qwen/Qwen3-32B,c4,1,14,128,0.514876
Qwen/Qwen3-32B,c4,1,14,512,0.262703
Qwen/Qwen3-32B,c4,1,14,2048,0.059893
Qwen/Qwen3-32B,c4,1,15,128,0.599899
Qwen/Qwen3-32B,c4,1,15,512,0.375073
Qwen/Qwen3-32B,c4,1,15,2048,0.085702
Qwen/Qwen3-32B,c4,1,16,128,0.472085
Qwen/Qwen3-32B,c4,1,16,512,0.295342
Qwen/Qwen3-32B,c4,1,16,2048,0.034100
Qwen/Qwen3-32B,c4,1,17,128,0.524696
Qwen/Qwen3-32B,c4,1,17,512,0.330268
Qwen/Qwen3-32B,c4,1,17,2048,0.061223
Qwen/Qwen3-32B,c4,1,18,128,0.690694
Qwen/Qwen3-32B,c4,1,18,512,0.399132
Qwen/Qwen3-32B,c4,1,18,2048,0.044860
Qwen/Qwen3-32B,c4,1,19,128,0.266038
Qwen/Qwen3-32B,c4,1,19,512,0.124353
Qwen/Qwen3-32B,c4,1,19,2048,0.024035
Qwen/Qwen3-32B,c4,1,20,128,0.353934
Qwen/Qwen3-32B,c4,1,20,512,0.187106
Qwen/Qwen3-32B,c4,1,20,2048,0.024404
Qwen/Qwen3-32B,c4,1,21,128,0.785918
Qwen/Qwen3-32B,c4,1,21,512,0.585589
Qwen/Qwen3-32B,c4,1,21,2048,0.175357
Qwen/Qwen3-32B,c4,1,22,128,0.128458
Qwen/Qwen3-32B,c4,1,22,512,0.064876
Qwen/Qwen3-32B,c4,1,22,2048,0.011422
Qwen/Qwen3-32B,c4,1,23,128,0.364106
Qwen/Qwen3-32B,c4,1,23,512,0.224110
Qwen/Qwen3-32B,c4,1,23,2048,0.047724
Qwen/Qwen3-32B,c4,1,24,128,0.106277
Qwen/Qwen3-32B,c4,1,24,512,0.038623
Qwen/Qwen3-32B,c4,1,24,2048,0.005550
Qwen/Qwen3-32B,c4,1,25,128,0.878162
Qwen/Qwen3-32B,c4,1,25,512,0.587277
Qwen/Qwen3-32B,c4,1,25,2048,0.171583
Qwen/Qwen3-32B,c4,1,26,128,0.505118
Qwen/Qwen3-32B,c4,1,26,512,0.226862
Qwen/Qwen3-32B,c4,1,26,2048,0.039017
Qwen/Qwen3-32B,c4,1,27,128,0.031198
Qwen/Qwen3-32B,c4,1,27,512,0.018198
Qwen/Qwen3-32B,c4,1,27,2048,0.003192
Qwen/Qwen3-32B,c4,1,28,128,0.751739
Qwen/Qwen3-32B,c4,1,28,512,0.535249
Qwen/Qwen3-32B,c4,1,28,2048,0.121694
Qwen/Qwen3-32B,c4,1,29,128,0.217181
Qwen/Qwen3-32B,c4,1,29,512,0.147691
Qwen/Qwen3-32B,c4,1,29,2048,0.037352
Qwen/Qwen3-32B,c4,1,30,128,0.800893
Qwen/Qwen3-32B,c4,1,30,512,0.651705
Qwen/Qwen3-32B,c4,1,30,2048,0.222242
Qwen/Qwen3-32B,c4,1,31,128,0.050667
Qwen/Qwen3-32B,c4,1,31,512,0.030627
Qwen/Qwen3-32B,c4,1,31,2048,0.007195
Qwen/Qwen3-32B,c4,1,32,128,0.515735
Qwen/Qwen3-32B,c4,1,32,512,0.347839
Qwen/Qwen3-32B,c4,1,32,2048,0.062801
Qwen/Qwen3-32B,c4,1,33,128,0.709454
Qwen/Qwen3-32B,c4,1,33,512,0.450854
Qwen/Qwen3-32B,c4,1,33,2048,0.124390
Qwen/Qwen3-32B,c4,1,34,128,0.476738
Qwen/Qwen3-32B,c4,1,34,512,0.295328
Qwen/Qwen3-32B,c4,1,34,2048,0.073565
Qwen/Qwen3-32B,c4,1,35,128,0.127413
Qwen/Qwen3-32B,c4,1,35,512,0.072736
Qwen/Qwen3-32B,c4,1,35,2048,0.012192
Qwen/Qwen3-32B,c4,1,36,128,0.306887
Qwen/Qwen3-32B,c4,1,36,512,0.201783
Qwen/Qwen3-32B,c4,1,36,2048,0.042080
Qwen/Qwen3-32B,c4,1,37,128,0.242929
Qwen/Qwen3-32B,c4,1,37,512,0.143104
Qwen/Qwen3-32B,c4,1,37,2048,0.021823
Qwen/Qwen3-32B,c4,1,38,128,0.585456
Qwen/Qwen3-32B,c4,1,38,512,0.410534
Qwen/Qwen3-32B,c4,1,38,2048,0.103513
Qwen/Qwen3-32B,c4,1,39,128,0.561462
Qwen/Qwen3-32B,c4,1,39,512,0.385976
Qwen/Qwen3-32B,c4,1,39,2048,0.084026
Qwen/Qwen3-32B,c4,1,40,128,0.515730
Qwen/Qwen3-32B,c4,1,40,512,0.322932
Qwen/Qwen3-32B,c4,1,40,2048,0.088336
Qwen/Qwen3-32B,c4,1,41,128,0.612797
Qwen/Qwen3-32B,c4,1,41,512,0.353845
Qwen/Qwen3-32B,c4,1,41,2048,0.118173
Qwen/Qwen3-32B,c4,1,42,128,0.598031
Qwen/Qwen3-32B,c4,1,42,512,0.368701
Qwen/Qwen3-32B,c4,1,42,2048,0.098923
Qwen/Qwen3-32B,c4,1,43,128,0.256794
Qwen/Qwen3-32B,c4,1,43,512,0.092273
Qwen/Qwen3-32B,c4,1,43,2048,0.010551
Qwen/Qwen3-32B,c4,1,44,128,0.455802
Qwen/Qwen3-32B,c4,1,44,512,0.286622
Qwen/Qwen3-32B,c4,1,44,2048,0.102996
Qwen/Qwen3-32B,c4,1,45,128,0.327229
Qwen/Qwen3-32B,c4,1,45,512,0.194787
Qwen/Qwen3-32B,c4,1,45,2048,0.043017
Qwen/Qwen3-32B,c4,1,46,128,0.382186
Qwen/Qwen3-32B,c4,1,46,512,0.230015
Qwen/Qwen3-32B,c4,1,46,2048,0.059209
Qwen/Qwen3-32B,c4,1,47,128,0.643922
Qwen/Qwen3-32B,c4,1,47,512,0.324776
Qwen/Qwen3-32B,c4,1,47,2048,0.099209
Qwen/Qwen3-32B,c4,1,48,128,0.229736
Qwen/Qwen3-32B,c4,1,48,512,0.136890
Qwen/Qwen3-32B,c4,1,48,2048,0.021869
Qwen/Qwen3-32B,c4,1,49,128,0.487539
Qwen/Qwen3-32B,c4,1,49,512,0.303500
Qwen/Qwen3-32B,c4,1,49,2048,0.040663
Qwen/Qwen3-32B,c4,1,50,128,0.564087
Qwen/Qwen3-32B,c4,1,50,512,0.379994
Qwen/Qwen3-32B,c4,1,50,2048,0.065291
Qwen/Qwen3-32B,c4,1,51,128,0.110430
Qwen/Qwen3-32B,c4,1,51,512,0.069123
Qwen/Qwen3-32B,c4,1,51,2048,0.014344
Qwen/Qwen3-32B,c4,1,52,128,0.128405
Qwen/Qwen3-32B,c4,1,52,512,0.074744
Qwen/Qwen3-32B,c4,1,52,2048,0.006026
Qwen/Qwen3-32B,c4,1,53,128,0.608805
Qwen/Qwen3-32B,c4,1,53,512,0.432425
Qwen/Qwen3-32B,c4,1,53,2048,0.123746
Qwen/Qwen3-32B,c4,1,54,128,0.329428
Qwen/Qwen3-32B,c4,1,54,512,0.209276
Qwen/Qwen3-32B,c4,1,54,2048,0.034846
Qwen/Qwen3-32B,c4,1,55,128,0.300152
Qwen/Qwen3-32B,c4,1,55,512,0.202139
Qwen/Qwen3-32B,c4,1,55,2048,0.035761
Qwen/Qwen3-32B,c4,1,56,128,0.824646
Qwen/Qwen3-32B,c4,1,56,512,0.627879
Qwen/Qwen3-32B,c4,1,56,2048,0.154909
Qwen/Qwen3-32B,c4,1,57,128,0.560865
Qwen/Qwen3-32B,c4,1,57,512,0.390216
Qwen/Qwen3-32B,c4,1,57,2048,0.110630
Qwen/Qwen3-32B,c4,1,58,128,0.907396
Qwen/Qwen3-32B,c4,1,58,512,0.864753
Qwen/Qwen3-32B,c4,1,58,2048,0.124790
Qwen/Qwen3-32B,c4,1,59,128,0.657516
Qwen/Qwen3-32B,c4,1,59,512,0.410009
Qwen/Qwen3-32B,c4,1,59,2048,0.086431
Qwen/Qwen3-32B,c4,1,60,128,0.415855
Qwen/Qwen3-32B,c4,1,60,512,0.237202
Qwen/Qwen3-32B,c4,1,60,2048,0.070692
Qwen/Qwen3-32B,c4,1,61,128,0.812087
Qwen/Qwen3-32B,c4,1,61,512,0.493369
Qwen/Qwen3-32B,c4,1,61,2048,0.163812
Qwen/Qwen3-32B,c4,1,62,128,0.581495
Qwen/Qwen3-32B,c4,1,62,512,0.379448
Qwen/Qwen3-32B,c4,1,62,2048,0.120235
Qwen/Qwen3-32B,c4,1,63,128,0.539070
Qwen/Qwen3-32B,c4,1,63,512,0.320692
Qwen/Qwen3-32B,c4,1,63,2048,0.092634
Qwen/Qwen3-32B,c4,2,0,128,0.898761
Qwen/Qwen3-32B,c4,2,0,512,0.762756
