model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,1,29,512,0.233880
Qwen/Qwen3-8B,cnndm,1,29,2048,0.063079
Qwen/Qwen3-8B,cnndm,1,30,128,0.383449
Qwen/Qwen3-8B,cnndm,1,30,512,0.201905
Qwen/Qwen3-8B,cnndm,1,30,2048,0.037091
Qwen/Qwen3-8B,cnndm,1,31,128,0.380997
Qwen/Qwen3-8B,cnndm,1,31,512,0.226668
Qwen/Qwen3-8B,cnndm,1,31,2048,0.077539
Qwen/Qwen3-8B,cnndm,2,0,128,0.636650
Qwen/Qwen3-8B,cnndm,2,0,512,0.452392
Qwen/Qwen3-8B,cnndm,2,0,2048,0.140984
Qwen/Qwen3-8B,cnndm,2,1,128,0.679339
Qwen/Qwen3-8B,cnndm,2,1,512,0.502634
Qwen/Qwen3-8B,cnndm,2,1,2048,0.182559
Qwen/Qwen3-8B,cnndm,2,2,128,0.702693
Qwen/Qwen3-8B,cnndm,2,2,512,0.511437
Qwen/Qwen3-8B,cnndm,2,2,2048,0.184926
Qwen/Qwen3-8B,cnndm,2,3,128,0.643491
Qwen/Qwen3-8B,cnndm,2,3,512,0.448430
Qwen/Qwen3-8B,cnndm,2,3,2048,0.147333
Qwen/Qwen3-8B,cnndm,2,4,128,0.142901
Qwen/Qwen3-8B,cnndm,2,4,512,0.085149
Qwen/Qwen3-8B,cnndm,2,4,2048,0.024541
Qwen/Qwen3-8B,cnndm,2,5,128,0.389770
Qwen/Qwen3-8B,cnndm,2,5,512,0.268020
Qwen/Qwen3-8B,cnndm,2,5,2048,0.087846
Qwen/Qwen3-8B,cnndm,2,6,128,0.301675
Qwen/Qwen3-8B,cnndm,2,6,512,0.206241
Qwen/Qwen3-8B,cnndm,2,6,2048,0.072683
Qwen/Qwen3-8B,cnndm,2,7,128,0.374055
Qwen/Qwen3-8B,cnndm,2,7,512,0.277118
Qwen/Qwen3-8B,cnndm,2,7,2048,0.106291
Qwen/Qwen3-8B,cnndm,2,8,128,0.431408
Qwen/Qwen3-8B,cnndm,2,8,512,0.224013
Qwen/Qwen3-8B,cnndm,2,8,2048,0.055947
Qwen/Qwen3-8B,cnndm,2,9,128,0.437156
Qwen/Qwen3-8B,cnndm,2,9,512,0.222383
Qwen/Qwen3-8B,cnndm,2,9,2048,0.059080
Qwen/Qwen3-8B,cnndm,2,10,128,0.541534
Qwen/Qwen3-8B,cnndm,2,10,512,0.296756
Qwen/Qwen3-8B,cnndm,2,10,2048,0.103696
Qwen/Qwen3-8B,cnndm,2,11,128,0.374063
Qwen/Qwen3-8B,cnndm,2,11,512,0.123319
Qwen/Qwen3-8B,cnndm,2,11,2048,0.012779
Qwen/Qwen3-8B,cnndm,2,12,128,0.425830
Qwen/Qwen3-8B,cnndm,2,12,512,0.208494
Qwen/Qwen3-8B,cnndm,2,12,2048,0.062933
Qwen/Qwen3-8B,cnndm,2,13,128,0.369543
Qwen/Qwen3-8B,cnndm,2,13,512,0.186108
Qwen/Qwen3-8B,cnndm,2,13,2048,0.049880
Qwen/Qwen3-8B,cnndm,2,14,128,0.394326
Qwen/Qwen3-8B,cnndm,2,14,512,0.207560
Qwen/Qwen3-8B,cnndm,2,14,2048,0.066419
Qwen/Qwen3-8B,cnndm,2,15,128,0.581226
Qwen/Qwen3-8B,cnndm,2,15,512,0.310769
Qwen/Qwen3-8B,cnndm,2,15,2048,0.072785
Qwen/Qwen3-8B,cnndm,2,16,128,0.624644
Qwen/Qwen3-8B,cnndm,2,16,512,0.377510
Qwen/Qwen3-8B,cnndm,2,16,2048,0.117682
Qwen/Qwen3-8B,cnndm,2,17,128,0.547542
Qwen/Qwen3-8B,cnndm,2,17,512,0.317717
Qwen/Qwen3-8B,cnndm,2,17,2048,0.098519
Qwen/Qwen3-8B,cnndm,2,18,128,0.533609
Qwen/Qwen3-8B,cnndm,2,18,512,0.322059
Qwen/Qwen3-8B,cnndm,2,18,2048,0.097222
Qwen/Qwen3-8B,cnndm,2,19,128,0.492255
Qwen/Qwen3-8B,cnndm,2,19,512,0.363955
Qwen/Qwen3-8B,cnndm,2,19,2048,0.122753
Qwen/Qwen3-8B,cnndm,2,20,128,0.492346
Qwen/Qwen3-8B,cnndm,2,20,512,0.346486
Qwen/Qwen3-8B,cnndm,2,20,2048,0.119168
Qwen/Qwen3-8B,cnndm,2,21,128,0.651921
Qwen/Qwen3-8B,cnndm,2,21,512,0.446074
